INSERT INTO ORDEN (idOrden, idCliente,idRestaurante,fecha) VALUES
(55,1,'Burger King','2019-4-1'),
(56,1,'McDonald','2019-9-28'),
(57,2,'Cuchara de Aurora','2019-1-10'),
(58,3,'Subway','2019-2-17'),
(59,1,'Comedor Institucional','2019-6-10'),
(60,3,'Subway','2019-5-14'),
(61,1,'Cuchara de Aurora','2019-5-25'),
(62,1,'Burger King','2019-9-15'),
(63,3,'Burger King','2019-1-26'),
(64,3,'Subway','2019-12-12'),
(65,1,'Restaurante el Lago','2019-10-13'),
(66,1,'Comedor Institucional','2019-8-1'),
(67,1,'Burger King','2019-11-16'),
(68,3,'Taco Bell','2019-11-9'),
(69,2,'Subway','2019-9-21'),
(70,3,'Cuchara de Aurora','2019-3-23'),
(71,3,'Burger King','2019-10-17'),
(72,3,'KFC','2019-7-7'),
(73,3,'Subway','2019-6-13'),
(74,1,'Restaurante el Lago','2019-12-3'),
(75,1,'Comida China','2019-7-13'),
(76,3,'Comedor Institucional','2019-2-14'),
(77,2,'Restaurante el Lago','2019-4-17'),
(78,1,'Pizza Hut','2019-11-20'),
(79,3,'Taco Bell','2019-5-5'),
(80,1,'Comedor Institucional','2019-11-15'),
(81,1,'KFC','2019-5-26'),
(82,3,'Pizza Hut','2019-12-1'),
(83,3,'Pizza Hut','2019-9-12'),
(84,2,'Cuchara de Aurora','2019-1-4'),
(85,3,'Restaurante el Lago','2019-6-26'),
(86,1,'Pizza Hut','2019-4-18'),
(87,3,'Burger King','2019-10-27'),
(88,3,'Taco Bell','2019-10-22'),
(89,2,'Comida China','2019-10-14'),
(90,3,'Pizza Hut','2019-12-8'),
(91,1,'Burger King','2019-12-21'),
(92,2,'Burger King','2019-1-12'),
(93,2,'Comedor Institucional','2019-8-6'),
(94,3,'Restaurante el Lago','2019-9-4'),
(95,1,'Comedor Institucional','2019-8-1'),
(96,1,'Comedor Institucional','2019-10-10'),
(97,3,'Comida China','2019-2-23'),
(98,3,'Comedor Institucional','2019-3-10'),
(99,2,'Restaurante el Lago','2019-3-16'),
(100,1,'KFC','2019-10-23'),
(101,3,'Subway','2019-4-3'),
(102,1,'Cuchara de Aurora','2019-3-25'),
(103,1,'Pizza Hut','2019-2-23'),
(104,2,'Cuchara de Aurora','2019-4-13'),
(105,3,'KFC','2019-1-2'),
(106,3,'Restaurante el Lago','2019-8-23'),
(107,1,'McDonald','2019-10-23'),
(108,2,'Subway','2019-8-15'),
(109,3,'Burger King','2019-8-18'),
(110,2,'Restaurante el Lago','2019-5-11'),
(111,1,'KFC','2019-2-2'),
(112,1,'Subway','2019-4-13'),
(113,3,'Comedor Institucional','2019-7-5'),
(114,1,'Cuchara de Aurora','2019-5-5'),
(115,1,'KFC','2019-1-17'),
(116,2,'Subway','2019-4-1'),
(117,2,'Pizza Hut','2019-6-21'),
(118,3,'Subway','2019-1-19'),
(119,3,'Taco Bell','2019-9-14'),
(120,3,'McDonald','2019-12-20'),
(121,2,'KFC','2019-1-7'),
(122,3,'Cuchara de Aurora','2019-2-27'),
(123,1,'Cuchara de Aurora','2019-3-18'),
(124,3,'Comedor Institucional','2019-8-1'),
(125,2,'KFC','2019-1-28'),
(126,2,'McDonald','2019-5-26'),
(127,1,'Comida China','2019-9-18'),
(128,1,'Cuchara de Aurora','2019-8-4'),
(129,1,'Comida China','2019-12-6'),
(130,3,'McDonald','2019-6-5'),
(131,2,'Burger King','2019-11-18'),
(132,3,'Comedor Institucional','2019-6-24'),
(133,2,'Comida China','2019-5-16'),
(134,2,'Restaurante el Lago','2019-1-17'),
(135,2,'Pizza Hut','2019-11-12'),
(136,2,'Taco Bell','2019-1-5'),
(137,3,'KFC','2019-7-24'),
(138,3,'McDonald','2019-11-9'),
(139,3,'McDonald','2019-11-19'),
(140,1,'Comedor Institucional','2019-11-27'),
(141,2,'Comida China','2019-4-14'),
(142,2,'Burger King','2019-2-27'),
(143,2,'Comedor Institucional','2019-9-25'),
(144,3,'KFC','2019-4-10'),
(145,2,'Comedor Institucional','2019-9-24'),
(146,2,'Restaurante el Lago','2019-3-17'),
(147,1,'Burger King','2019-5-21'),
(148,2,'KFC','2019-7-13'),
(149,2,'Cuchara de Aurora','2019-1-13'),
(150,2,'Burger King','2019-8-25');
